"date_utc","date_time_utc","ethtz_price"
2021-05-01,"2021-05-01 18:14:28",413.105664551217
2021-05-01,"2021-05-01 18:20:03",413.105664551217
2021-05-01,"2021-05-01 18:30:04",413.105664551217
2021-05-01,"2021-05-01 18:40:03",413.105664551217
2021-05-01,"2021-05-01 18:50:03",413.105664551217
2021-05-01,"2021-05-01 19:00:03",413.105664551217
2021-05-01,"2021-05-01 19:10:03",413.212892909011
2021-05-01,"2021-05-01 19:20:03",413.212892962009
2021-05-01,"2021-05-01 19:30:03",413.212892962009
2021-05-01,"2021-05-01 19:40:03",413.212892962009
2021-05-01,"2021-05-01 19:50:03",413.212892962009
2021-05-01,"2021-05-01 20:00:04",413.212892962009
2021-05-01,"2021-05-01 20:10:03",413.212892962009
2021-05-01,"2021-05-01 20:20:04",413.212892962009
2021-05-01,"2021-05-01 20:30:03",413.212892962009
2021-05-01,"2021-05-01 20:40:03",413.212892962009
2021-05-01,"2021-05-01 20:50:03",413.212892962009
2021-05-01,"2021-05-01 21:00:03",413.212892962009
2021-05-01,"2021-05-01 21:10:03",413.212892962009
2021-05-01,"2021-05-01 21:20:03",413.212892962009
2021-05-01,"2021-05-01 21:30:03",413.212892962009
2021-05-01,"2021-05-01 21:40:03",413.212892962009
2021-05-01,"2021-05-01 21:50:03",413.212892962009
2021-05-01,"2021-05-01 22:00:04",413.212892962009
2021-05-01,"2021-05-01 22:10:03",413.212892962009
2021-05-01,"2021-05-01 22:20:03",413.212892962009
2021-05-01,"2021-05-01 22:30:04",413.212892962009
2021-05-01,"2021-05-01 22:40:03",413.212892962009
2021-05-01,"2021-05-01 22:50:03",413.212892962009
2021-05-01,"2021-05-01 23:00:04",413.212892962009
2021-05-01,"2021-05-01 23:10:03",413.212892962009
2021-05-01,"2021-05-01 23:20:03",413.212892962009
2021-05-01,"2021-05-01 23:30:03",413.212892962009
2021-05-01,"2021-05-01 23:40:03",413.212892962009
2021-05-01,"2021-05-01 23:50:03",413.212892962009
2021-05-02,"2021-05-02 00:00:04",413.212892962009
2021-05-02,"2021-05-02 00:10:03",413.212892962009
2021-05-02,"2021-05-02 00:20:03",413.212892962009
2021-05-02,"2021-05-02 00:30:04",413.212892962009
2021-05-02,"2021-05-02 00:40:03",413.212892962009
2021-05-02,"2021-05-02 00:50:03",413.212892962009
2021-05-02,"2021-05-02 01:00:03",413.212892962009
2021-05-02,"2021-05-02 01:10:03",413.212892962009
2021-05-02,"2021-05-02 01:20:03",413.212892962009
2021-05-02,"2021-05-02 01:30:03",413.212892962009
2021-05-02,"2021-05-02 01:40:03",413.212892962009
2021-05-02,"2021-05-02 01:50:03",413.212892962009
2021-05-02,"2021-05-02 02:00:04",413.212892962009
2021-05-02,"2021-05-02 02:10:03",413.212892962009
2021-05-02,"2021-05-02 02:20:04",413.212892962009
2021-05-02,"2021-05-02 02:30:03",413.212892962009
2021-05-02,"2021-05-02 02:40:03",413.212892962009
2021-05-02,"2021-05-02 02:50:04",413.212892962009
2021-05-02,"2021-05-02 03:00:04",413.212892962009
2021-05-02,"2021-05-02 03:10:03",413.212892962009
2021-05-02,"2021-05-02 03:20:04",413.212892962009
2021-05-02,"2021-05-02 03:30:03",413.212892962009
2021-05-02,"2021-05-02 03:40:03",413.212892962009
2021-05-02,"2021-05-02 03:50:03",413.212892962009
2021-05-02,"2021-05-02 04:00:03",413.212892962009
2021-05-02,"2021-05-02 04:10:03",413.212892962009
2021-05-02,"2021-05-02 04:20:03",413.212892962009
2021-05-02,"2021-05-02 04:30:03",413.212892962009
2021-05-02,"2021-05-02 04:40:03",413.212892962009
2021-05-02,"2021-05-02 04:50:03",413.212892962009
2021-05-02,"2021-05-02 05:00:04",413.212892962009
2021-05-02,"2021-05-02 05:10:03",413.212892962009
2021-05-02,"2021-05-02 05:20:03",413.212892962009
2021-05-02,"2021-05-02 05:30:03",413.212892962009
2021-05-02,"2021-05-02 05:40:03",413.212892962009
2021-05-02,"2021-05-02 05:50:03",413.212892962009
2021-05-02,"2021-05-02 06:00:04",413.212892962009
2021-05-02,"2021-05-02 06:10:03",413.212892962009
2021-05-02,"2021-05-02 06:20:03",413.212892962009
2021-05-02,"2021-05-02 06:30:03",413.212892962009
2021-05-02,"2021-05-02 06:40:03",413.212892962009
2021-05-02,"2021-05-02 06:50:04",413.212892962009
2021-05-02,"2021-05-02 07:00:04",413.212892962009
2021-05-02,"2021-05-02 07:10:03",413.212892962009
2021-05-02,"2021-05-02 07:20:03",413.212892962009
2021-05-02,"2021-05-02 07:30:03",413.212892962009
2021-05-02,"2021-05-02 07:40:03",413.212892962009
2021-05-02,"2021-05-02 07:50:03",413.212892962009
2021-05-02,"2021-05-02 08:00:03",413.212892962009
2021-05-02,"2021-05-02 08:10:03",413.212892962009
2021-05-02,"2021-05-02 08:20:03",413.212892962009
2021-05-02,"2021-05-02 08:30:04",413.212892962009
2021-05-02,"2021-05-02 08:40:04",413.212892962009
2021-05-02,"2021-05-02 08:50:03",413.212892962009
2021-05-02,"2021-05-02 09:00:03",413.212892962009
2021-05-02,"2021-05-02 09:10:03",413.212892962009
2021-05-02,"2021-05-02 09:20:05",413.212892962009
2021-05-02,"2021-05-02 09:30:03",413.212892962009
2021-05-02,"2021-05-02 09:40:03",413.212892962009
2021-05-02,"2021-05-02 09:50:03",413.212892962009
2021-05-02,"2021-05-02 10:00:04",413.212892962009
