"address","TotalProfitLoss","TotalSignalledTokens","TotalUnsignalledTokens","date_utc","date_time_utc"
"0x4fc20ad3bb384764fdc7d588ee3b4dc5eabefce7",478339.216945051,750000,0,2021-07-21,"2021-07-21 02:01:27"
"0xb31aa1f312595af94f184c5791dc03d6af12fbff",141771.086514655,25000,0,2021-07-21,"2021-07-21 02:01:27"
"0x9923c163412e70abf1861562e226ccddc69f9429",110975.860912285,25000,0,2021-07-21,"2021-07-21 02:01:27"
"0x0a0319671f2d3c18fb55ab555b48bc01f27747a4",106068.512624495,25000,0,2021-07-21,"2021-07-21 02:01:27"
"0xd6ce4c87ec3fb6e80d87ff5fa7c5ec8fdefadf5c",97300.5693915156,25000,0,2021-07-21,"2021-07-21 02:01:27"
"0xfc3ac80003d8a5181e554d03983284e4341a7610",95164.850975742,25000,0,2021-07-21,"2021-07-21 02:01:27"
"0x26cf67040678eb0f5654c9cbaad78dc1694cbafa",88283.70518655,25000,0,2021-07-21,"2021-07-21 02:01:27"
"0x819fd65026848d710fe40d8c0439f1220e069398",85302.8260721337,25000,0,2021-07-21,"2021-07-21 02:01:27"
"0xcb30a985b5a998e96b09f1cd5d7b61d405a5a032",83766.6850853951,25000,0,2021-07-21,"2021-07-21 02:01:27"
"0xd5285e60b8193d3eeb77efaad340b9a0f95b115c",80762.4011240677,186750,147341.925142526,2021-07-21,"2021-07-21 02:01:27"
"0x0503024fcc5e1bd834530e69d592dbb6e8c03968",77656.2270222659,25000,0,2021-07-21,"2021-07-21 02:01:27"
"0x9bde7bf4d5b13ef94373ced7c8ee0be59735a298",59783.5160740617,16903.88150604,76687.3975801017,2021-07-21,"2021-07-21 02:01:27"
"0x2382ab6c2099474cf424560a370ed1b1fdb65253",51487.5624043319,25664,0,2021-07-21,"2021-07-21 02:01:27"
"0xbf33281382a114d5a8d8122a9fda04d8cd51d55d",37784.9761867112,59869.9250427688,97654.9012294801,2021-07-21,"2021-07-21 02:01:27"
"0x66e9cb06ab7cc033c6d40173384cee7d7d177359",29965.0951007785,20949.8630076022,50914.9581083807,2021-07-21,"2021-07-21 02:01:27"
"0x48a5a5af506568a2891bc03da1e45b91f4d2bed1",27273.9234640869,184500,211773.923464087,2021-07-21,"2021-07-21 02:01:27"
"0x5caba9c5aa0031f8ad79670365402a6823bacbe9",23032.7977259183,80000,0,2021-07-21,"2021-07-21 02:01:27"
"0xacd1f726dd027d8bf6f271c784b8e1b7d990ad8f",22710.5766279539,28850.147406525,51560.7240344789,2021-07-21,"2021-07-21 02:01:27"
"0x520f7445286cc4140be54e9fbfe8aa80a2b3f60e",22037.8655223389,77200,49291.125,2021-07-21,"2021-07-21 02:01:27"
"0x3f74870f80ff7449fe4c6ff257da5fa72734c970",20884.4195978526,1000,21884.4195978526,2021-07-21,"2021-07-21 02:01:27"
"0x0c9e25f360807da04549a69baec94c9fda1d41a7",18833.06146699,50000,0,2021-07-21,"2021-07-21 02:01:27"
"0xbfd5af9e2e50dcfee8b80124fd49ecb201e56a41",16798.808663782,171447.77591867,119125.741323143,2021-07-21,"2021-07-21 02:01:27"
"0x369e32aed1dc5c33c85ab20977fb645a803e4a70",15536.8540890975,12484.5822436226,28021.4363327201,2021-07-21,"2021-07-21 02:01:27"
"0xa8e7b0c676ec5069b3616e2ac571f2d68b3a5b98",13560.1846059281,31401.7223488213,15932.7146036908,2021-07-21,"2021-07-21 02:01:27"
